title,pubDate,originallink,description,papago
<<<<<<< HEAD
"진주시, 민원담당 공무원 대상‘2023년 친절교육’ 실시","Mon, 19 Jun 2023 18:12:00 +0900",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160288661519379,이날 교육을 진행한 정혜민 <b>경성대</b>학교 퍼스널이미지메이킹 강사는 ‘서비스 변화를 이해하고 고객 심리를 충족시킬 수 있는 서비스 마인드 재정립’이라는 주제로 ▲민원담당 공무원의 현안문제 ▲욕구 파악의 중요성... ,"Jinju City conducts ""2023 Kindness Education"" for civil service officials"
"부산시, AI기반 인파 사고 예측… 대규모 사고 막는다","Mon, 19 Jun 2023 17:54:00 +0900",http://www.segye.com/content/html/2023/06/19/20230619519671.html?OutUrl=naver,"부산시 제공 시는 지난 3월 인텔리빅스·한국전자기술연구원·부산테크노파크·<b>경성대</b> 등 6개 기관·업체로 연합체(컨소시엄)를 구성하고, 행정안전부 주관 ‘사회복합재난 대응 기술개발 공모사업’의 인파사고... ",Busan City Predicts AI-Based Crowd Accidents... prevent large-scale
"진주시, 민원담당 공무원&apos;2023년 친절교육&apos; 실시","Mon, 19 Jun 2023 17:50:00 +0900",http://www.gndomin.com/news/articleView.html?idxno=356926,이날 교육을 진행한 정혜민 <b>경성대</b>학교 퍼스널이미지메이킹 강사는 &apos;서비스 변화를 이해하고 고객 심리를 충족시킬 수 있는 서비스 마인드 재정립&apos;이라는 주제로 ▲민원담당 공무원의 현안문제 ▲욕구 파악의 중요성... ,"Jinju City, Civil Service Officer & Apos; Friendly Education & Apos; Implemented in 2023"
"롯데 자이언츠 응원단의 새 활력소, &apos;양혜빈 응원 부단장&apos;을 만나다[부산야구...","Mon, 19 Jun 2023 17:32:00 +0900",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0600&key=20230619.99099004432,주로 홈경기 주말시리즈와 원정경기에서 활약하고 있는 양혜빈 부단장은 <b>경성대</b>학교 응원단 ‘아스카라’의... 이후 <b>대학교</b> 입학 후 <b>대학</b> 응원단 생활도 했고 올해에는 ‘롯데 자이언츠 응원 부단장’이라는 좋은 기회를... ,"Meet Lotte Giants Cheering Team's New Vitality, Yang Hye-bin Cheering Vice Chairman, and Apos [Busan Baseball...]..."
[부고종합] 김기연 아침디자인그룹 회장 부친상 등,"Mon, 19 Jun 2023 16:42:00 +0900",http://www.safetimes.co.kr/news/articleView.html?idxno=205352,"☎ 02-3010-2000 ■ 윤영환 전 <b>경성대</b>학교 야구부 감독 모친상 ▲김우순씨 별세, 윤영환... 부친상, 이시야마 에리씨 시부상 = 18일, 동아<b>대학교</b>병원장례식장 특5호실, 발인 20일 오전 7시 30분. ☎051-256-7070","[Announcement] Kim Ki-yeon, chairman of the Morning Design Group, father figure, etc"
진주시 민원담당 공무원 대상 &apos;2023년 친절교육&apos;,"Mon, 19 Jun 2023 15:42:00 +0900",http://www.newsfreezone.co.kr/news/articleView.html?idxno=478686,"교육을 진행한 정혜민 <b>경성대</b>학교 퍼스널이미지메이킹 강사는 &apos;서비스 변화를 이해하고 고객 심리를 충족시킬 수 있는 서비스 마인드 재정립&apos;이란 주제로, ▲민원담당 공무원의 현안문제 ▲욕구 파악의 중요성 ▲고객... ",Jinju City Civil Service Public Officials & Apos; Friendly Education 2023 & Apos;
"진주시, 민원담당 공무원 대상 ‘2023년 친절교육’ 실시","Mon, 19 Jun 2023 15:40:00 +0900",https://www.viva100.com/main/view.php?key=20230619010005285,"이날 교육을 진행한 정혜민 <b>경성대</b>학교 퍼스널이미지메이킹 강사는 ‘서비스 변화를 이해하고 고객 심리를 충족시킬 수 있는 서비스 마인드 재정립’이라는 주제로 민원담당 공무원의 현안문제, 욕구 파악의 중요성... ",Jinju City conducts '2023 Kindness Education' for civil service officials
지역 사립대에서 물리·화학 사라진다,"Mon, 19 Jun 2023 15:22:00 +0900",http://www.kyosu.net/news/articleView.html?idxno=106242,사진=픽사베이 <b>대학</b>에서 국어국문학·철학뿐만 아니라 자연계열의 물리·화학도 사라지고 있다. 학령인구... 학과 경쟁력 강화를 위해 신설된 경우는 목원대와 <b>경성대</b>의 화장품학과처럼 실용분야에 집중된 경우가... ,Physics and Chemistry Disappear at Local Private Universities
"AI가 인파사고 관리…부산시, 인파관리 기술 개발 추진","Mon, 19 Jun 2023 15:02:00 +0900",https://news.kmib.co.kr/article/view.asp?arcid=0018376838&code=61121111&cp=nv,"‘고신뢰 인파 사고 위험분석‧평가 기술개발 사업’은 인텔리빅스를 주관으로 부산테크노파크와 지오멕스, 피앤유드론, <b>경성대</b>, 한국전자기술연구원으로 구성된 컨소시엄이 추진한다. 컨소시엄은 지난 3월... ",AI manages crowd accidents...Busan City Promotes Development of Crowd Management Technology
[일반대-산업대] 2024학년도 정부 재정지원 가능<b>대학</b> 명단,"Mon, 19 Jun 2023 13:04:00 +0900",http://www.edupress.kr/news/articleView.html?idxno=10501,"(글로컬), ▲건양<b>대학교</b>, ▲경기<b>대학교</b>, ▲경남<b>대학교</b>, ▲경동<b>대학교</b>, ▲경북<b>대학교</b>, ▲경상국립<b>대학교</b>, ▲<b>경성대</b>학교, ▲경운<b>대학교</b>, ▲경일<b>대학교</b>, ▲경희<b>대학교</b>, ▲계명<b>대학교</b>, ▲고려<b>대학교</b>, ▲고려<b>대학교</b>(세종)... ",[Union-Industrial University] List of government financial support available for the 2024 school year <b>University</b>
=======
"하윤수 부산시교육감, <b>경성대</b> ROTC 동문 단결행사 참석","Mon, 05 Jun 2023 09:56:00 +0900",https://view.asiae.co.kr/article/2023060509431297645,하윤수 부산시교육감이 ‘<b>경성대</b> 149ROTC동문 가족 한마음 단결행사’에 참석해 격려하는 시간을 가졌다. 이번 행사는 지난 4일 오후 1시 30분 영도구 목장원에서 열렸으며 <b>경성대</b> ROTC 동문 150여명이 참석했다.... ,Busan Superintendent of Education Ha Yoon-soo attends the ROTC alumni unity event <b> Kyungsung University</b>
교통·생활 인프라 온천천 모두 품은 &apos;연산동 동원로얄듀크&apos; 신규 아파트 공급...,"Mon, 05 Jun 2023 09:02:00 +0900",http://www.ikld.kr/news/articleView.html?idxno=275268,"주변 학군은 연천초, 연산중, 연천중, <b>경성대</b>학교 등이 위치해 있다. 인근에 부산연산도서관과 학원가가 형성돼 있어 명품 학군의 교육 인프라를 갖추고 있다. 신세계, 롯데백화점, 코스트코, 이마트 트레이더스 등을... ",Transportation and living infrastructure Oncheoncheon Stream is both embraced &apos; Dongwon Royal Duke &apos; New apartment supply...
